Country,Year,Import Share,Fit,GDP/capita,Energy Consumption,Annual Solar Capacity Addition,TechAdvancement,Tech Advancement CN,Trade Policies EU,Fixed Asset Investment CN (prior year),Avg Wage Difference,Environ. St. Difference
Belgium,2016,12.35,0,42012.62,709.5,197.2,6,17340,47.7,11314.6,3083.66,0.1111
Belgium,2017,6.11,0,44198.48,716.05,291.8,8,22199,47.7,12781.6,3093.93,0.1111
Belgium,2018,7.78,0,47544.98,714.22,379.4,3,25048,33.79,13346.7,3143.58,0.1389
Belgium,2019,22.33,0,46641.72,738.43,636.6,6,21697,0,15108.17,6615.06,0.2778
Bulgaria,2005,8.43,0,3899.83,236.2,0,1,573,0,525.7,31.74,1.7953
Bulgaria,2006,11.81,0,4523.15,240.77,0,0,979,0,771.5,-11.3,1.9811
Bulgaria,2007,15.86,0.528,5888.78,232.76,0,2,1621,0,1110.7,-11.91,1.8693
Bulgaria,2008,15.84,0.565,7271.3,230.31,0.1,0,2364,0,1608.4,8.95,2.016
Bulgaria,2009,32.17,0.537,6988.27,202.21,1.9,1,4149,0,2344,197.79,2.0698
Bulgaria,2010,10.85,0.511,6863.67,211.54,23,1,6397,0,3557.7,197.42,1.773
Bulgaria,2011,23.21,0.094,7857.17,224.73,129,2,7634,0,4997.2,178,1.7223
Bulgaria,2012,18.16,0.087,7430.74,213.66,768,4,8395,0,7881.2,128.86,0.6274
Bulgaria,2013,3.16,0.09,7687.71,198.11,116.5,0,8057,21.84,8280.1,155.42,0.6339
Bulgaria,2014,3.21,0.09,7912.27,211.55,-9.6,0,10136,47.7,9210.6,183.55,0.3955
Bulgaria,2015,3.97,0.131,7078.86,224.68,-1,4,12974,47.7,10403.5,199.53,0.2546
Bulgaria,2016,1.35,0.131,7570.93,213.12,2,3,17340,47.7,11314.6,286.69,0.3553
Bulgaria,2017,1.08,0.133,8381.88,218.17,0.8,3,22199,47.7,12781.6,334.07,0.2865
Bulgaria,2018,2.13,0.116,9447.66,218.82,2.4,5,25048,33.79,13346.7,372.8,0.2986
Bulgaria,2019,23.29,0.11,9874.34,211.55,11.3,3,21697,0,15108.17,422.7709362,0.2782
Croatia,2005,6.74,0,10446.36,109.28,0,3,573,0,525.7,799.93,1.7953
Croatia,2006,4.64,0,11505.4,107.95,0,0,979,0,771.5,839.64,1.9811
Croatia,2007,32.58,0.356,13762.46,108.45,0,0,1621,0,1110.7,854.13,1.8693
Croatia,2008,7.18,0.382,15898.8,107.86,0,1,2364,0,1608.4,876.59,2.016
Croatia,2009,2.17,0.363,14421.17,106.49,0.3,1,4149,0,2344,1067.38,2.0698
Croatia,2010,4.75,0.345,13693.5,108.26,0,1,6397,0,3557.7,1046.587436,1.773
Croatia,2011,25.19,0.362,14655.87,94.45,0,11,7634,0,4997.2,1005.34,1.7223
Croatia,2012,27.98,0,13439.66,87.59,3.7,16,8395,0,7881.2,942.5074261,0.6274
Croatia,2013,88.25,0.193,13979.19,96.07,15,10,8057,21.84,8280.1,959.9099514,0.6339
Croatia,2014,28.56,0.191,14001.16,96.01,14,6,10136,47.7,9210.6,939.36,0.3955
Croatia,2015,19.34,0.16,12098.51,91.02,14.8,1,12974,47.7,10403.5,957.392319,0.2546
Croatia,2016,4.83,0,12579.92,94.73,8,16,17340,47.7,11314.6,981.7464575,0.3553
Croatia,2017,1.44,0,13592.25,94.78,4.2,10,22199,47.7,12781.6,1009.776315,0.2865
Croatia,2018,3.91,0,15040.04,98.16,7.7,16,25048,33.79,13346.7,1000.180974,0.2986
Croatia,2019,6.79,0,15120.9,95.81,17.1,30,21697,0,15108.17,1022.594917,0.2782
Czechia,2005,5.54,0.25,13430.67,519.63,0.2,1,573,0,525.7,778.18,1.7222
Czechia,2006,2.93,0.584,15261.8,529.46,0.3,3,979,0,771.5,750.43,2.0278
Czechia,2007,3.57,0.663,18466.55,523.71,3.1,6,1621,0,1110.7,784.77,1.9444
Czechia,2008,9.84,0.788,22804.58,513.62,35.5,10,2364,0,1608.4,850.86,2.2778
Czechia,2009,37.33,0.674,19861.7,492.81,425.1,12,4149,0,2344,1251.19,2.2222
Czechia,2010,58.08,0.639,19960.07,513.65,1262.4,11,6397,0,3557.7,1240.46,1.8056
Czechia,2011,37.03,0.367,21871.27,501.98,186,20,7634,0,4997.2,1177,1.6389
Czechia,2012,38.79,0.315,19870.8,499.44,109,10,8395,0,7881.2,1113.87,0.7778
Czechia,2013,13.92,0.145,20133.17,490.22,41.5,15,8057,21.84,8280.1,1160.29,0.4722
Czechia,2014,8.09,0,19890.92,479.94,3.9,9,10136,47.7,9210.6,1186.24,-0.25
Czechia,2015,13.89,0,17829.7,470.72,7.5,5,12974,47.7,10403.5,1178.67,-0.3333
Czechia,2016,13.24,0,18575.23,464.37,-7,7,17340,47.7,11314.6,1254.85,-0.0556
Czechia,2017,12.87,0,20636.2,490.58,7.5,8,22199,47.7,12781.6,1359.1,-0.1111
Czechia,2018,10.44,0,23424.48,489.02,5.6,13,25048,33.79,13346.7,1432.69,0.0278
Czechia,2019,23.75,0,23664.85,477.9,29.6,8,21697,0,15108.17,1439.658089,0.1667
Denmark,2005,1.12,0,48799.83,227.6,1,4,573,0,525.7,3550.56,2.3333
Denmark,2006,1.74,0,52027,251.56,0,10,979,0,771.5,3770.71,2.4444
Denmark,2007,3.18,0,58487.05,238.63,0,15,1621,0,1110.7,4057.19,2.4444
Denmark,2008,9.73,0,64322.06,226.62,0,28,2364,0,1608.4,3959.179324,2.3889
Denmark,2009,15.51,0.112,58163.28,214.58,2,26,4149,0,2344,4088.904807,2.4444
Denmark,2010,23.5,0.107,58041.4,227.94,2,39,6397,0,3557.7,3984.386546,2.7778
Denmark,2011,30.37,0.112,61753.65,214.15,10,37,7634,0,4997.2,3873.751376,2.75
Denmark,2012,58.86,0.104,58507.51,199.19,385,54,8395,0,7881.2,3731.790718,1.4167
Denmark,2013,37.64,0.107,61191.19,207.78,169,39,8057,21.84,8280.1,3648.196372,1.5278
Denmark,2014,23.54,0.107,62548.98,200,36,59,10136,47.7,9210.6,3561.43,1.3611
Denmark,2015,20.49,0.089,53254.86,194.82,175.1,48,12974,47.7,10403.5,3742.182528,1.1389
Denmark,2016,46.05,0.134,54664,197.84,68.8,33,17340,47.7,11314.6,3773.389024,1.1667
Denmark,2017,13.72,0.136,57610.1,198.83,55.4,39,22199,47.7,12781.6,3890.114181,1.1944
Denmark,2018,10.6,0,61591.93,196.31,91.7,15,25048,33.79,13346.7,3971.92,0.9167
Denmark,2019,43.3,0,59592.98,192.07,82,13,21697,0,15108.17,4038.693285,0.7222
Estonia,2005,0.32,0.064,10412.64,64.47,0,4,573,0,525.7,646.3769012,2.5
Estonia,2006,1.01,0.065,12639.4,63.68,0,0,979,0,771.5,641.9503505,2.6111
Estonia,2007,3.87,0.071,16744.58,73.76,0,0,1621,0,1110.7,638.6291861,2.4444
Estonia,2008,6.84,0.108,18204.97,67.85,0,0,2364,0,1608.4,632.3022902,2.6667
Estonia,2009,4.77,0.102,14711.74,58.72,0.1,0,4149,0,2344,856.7870866,2.5278
Estonia,2010,9.41,0.097,14663.04,73.15,0,0,6397,0,3557.7,865.32,2.25
Estonia,2011,24.8,0.102,17487.8,72.96,0.1,0,7634,0,4997.2,815.23,1.5833
Estonia,2012,9.98,0.069,17403.21,73.48,0.2,0,8395,0,7881.2,803.21,0.0556
Estonia,2013,10.29,0.071,19056,77.46,1.1,0,8057,21.84,8280.1,852.42,1.0833
Estonia,2014,16.43,0.071,20261.07,74.16,1.8,0,10136,47.7,9210.6,1018.18,0.9722
Estonia,2015,20.57,0.06,17402.04,68.62,3.2,0,12974,47.7,10403.5,906.57,0.8333
Estonia,2016,13.29,0.059,18295.34,70.76,3.5,4,17340,47.7,11314.6,1009.34,0.9444
Estonia,2017,27.4,0.061,20437.77,78.48,5,0,22199,47.7,12781.6,1029.8,0.9444
Estonia,2018,24.75,0.063,23165.85,77.87,16.9,0,25048,33.79,13346.7,1045.6,0.4722
Estonia,2019,39.26,0.06,23424.48,62.76,88.7,2,21697,0,15108.17,1131.5,0.2222
Finland,2005,1.2,0,39054.85,357.55,0,3,573,0,525.7,2127.87,2.0556
Finland,2006,1.49,0,41222.6,383.51,1,3,979,0,771.5,2229.6,2.2778
Finland,2007,3.7,0,48476.39,382.19,0,7,1621,0,1110.7,2938.46,2.2778
Finland,2008,4.07,0,53772.79,368.5,1,3,2364,0,1608.4,3148.69,2.3889
Finland,2009,8.01,0,47481.48,341.29,0,8,4149,0,2344,2761.64,2.1944
Finland,2010,6.77,0,46505.3,371.29,1,4,6397,0,3557.7,2801.78,1.8056
Finland,2011,3.55,0,51148.93,349.92,0,4,7634,0,4997.2,2745.86,2.2778
Finland,2012,6.71,0,47708.06,340.46,1,10,8395,0,7881.2,3672.82,1.1667
Finland,2013,9.22,0,49892.22,341.8,1,7,8057,21.84,8280.1,2799.74,1.1111
Finland,2014,49.1,0,50327.24,329.82,2,1,10136,47.7,9210.6,2806.52,0.9444
Finland,2015,57,0,42801.91,328.89,6,4,12974,47.7,10403.5,2652.51,0.9722
Finland,2016,28.43,0,43814.03,334.08,22,7,17340,47.7,11314.6,4101.93,1.0556
Finland,2017,22.88,0,46412.14,327.22,43,6,22199,47.7,12781.6,2757.25,1
Finland,2018,23.48,0,49987.63,333.84,58,10,25048,33.79,13346.7,2762.417038,1.0556
Finland,2019,30.72,0,48629.86,326.98,82,23,21697,0,15108.17,2798.7,0.8611
France,2005,4.27,0.019,34768.18,3152.4,2,41,573,0,525.7,1893.609318,2.1667
France,2006,4.36,0.534,36470.21,3127.13,2,49,979,0,771.5,1662.131917,2.3889
France,2007,9.07,0.582,41557.62,3072.35,11,85,1621,0,1110.7,1441.85,2.5556
France,2008,17.27,0.625,45515.96,3081.91,54,162,2364,0,1608.4,1459.8,2.6111
France,2009,22.95,0.593,41737.76,2909.97,197,281,4149,0,2344,1720.27,2.7222
France,2010,25.61,0.601,40676.06,2997.73,767,338,6397,0,3557.7,2508.24,2.3056
France,2011,35.43,0.427,43846.47,2882.31,1959.6,261,7634,0,4997.2,2894.43,2.4722
France,2012,32.56,0.385,40870.85,2881.17,1355.2,188,8395,0,7881.2,2845.35,1.4444
France,2013,26.37,0.388,42602.72,2908.43,918.5,192,8057,21.84,8280.1,2975.29,1.3889
France,2014,17.58,0.379,43068.55,2785.74,757.1,165,10136,47.7,9210.6,2627.98,1.4722
France,2015,38.85,0,36652.92,2803.13,1103.1,184,12974,47.7,10403.5,2939.4,1.1389
France,2016,15.59,0,37062.53,2754.99,564.6,145,17340,47.7,11314.6,3053.06,1.1389
France,2017,10.61,0,38781.05,2734.68,908.4,117,22199,47.7,12781.6,3117.83,1.3333
France,2018,8.99,0,41557.85,2785.43,1061.9,156,25048,33.79,13346.7,3141.94,1.6944
France,2019,17.06,0,40494.9,2725.83,1135.6,132,21697,0,15108.17,3259.8,1.7778
Germany,2005,15.91,0.64,34520.24,3962.63,951,443,573,0,525.7,2459.65,2.1944
Germany,2006,23.06,0.612,36353.88,4062.38,843,536,979,0,771.5,2395.35,2.25
Germany,2007,34.25,0.632,41640.08,3893.42,1271,637,1621,0,1110.7,2995.11,2.0833
Germany,2008,37.81,0.641,45612.71,3934.66,1950,814,2364,0,1608.4,3137.12,2.2222
Germany,2009,38.98,0.523,41650.37,3692.18,4444,1152,4149,0,2344,3094.62,2.1667
Germany,2010,49.34,0.448,41572.46,3847.15,7440,1242,6397,0,3557.7,3239.14,1.7778
Germany,2011,54.48,0.347,46705.9,3710.59,7910,1204,7634,0,4997.2,3051.47,1.6944
Germany,2012,59.59,0.256,43855.85,3761.91,8161,1004,8395,0,7881.2,2986.89,0.5833
Germany,2013,49.07,0.241,46298.92,3868.52,2633,651,8057,21.84,8280.1,3051.65,0.6944
Germany,2014,23.87,0.217,48023.87,3710.46,1190,517,10136,47.7,9210.6,3523.32,0.3611
Germany,2015,18.32,0.097,41103.26,3780.86,1324,420,12974,47.7,10403.5,3358.12,0.1389
Germany,2016,20.8,0.097,42136.12,3842.88,1455,417,17340,47.7,11314.6,3358.58,0.3056
Germany,2017,19.1,0,44652.59,3892.67,1614,335,22199,47.7,12781.6,3531.99,0.1944
Germany,2018,20.62,0,47939.28,3795.13,2865,326,25048,33.79,13346.7,3748.16,0.3889
Germany,2019,44.33,0,46805.14,3697.41,3756,325,21697,0,15108.17,3865.51,0.3611
Greece,2005,1.52,0,22560.15,399.61,0,0,573,0,525.7,682.9978869,1.0833
Greece,2006,6.54,0,24821.94,411.31,4,2,979,0,771.5,686.1634485,1.1944
Greece,2007,7.64,0.543,28863.97,419.35,4,3,1621,0,1110.7,691.1747185,1.2778
Greece,2008,9.52,0.582,32127.98,411.59,3,4,2364,0,1608.4,693.98,1.4444
Greece,2009,21.73,0.767,29828.76,396.4,34,8,4149,0,2344,915.38,1.4722
Greece,2010,20.44,0.729,26716.65,378.44,156,20,6397,0,3557.7,1750.22,1.3056
Greece,2011,37.21,0.766,25483.88,371.28,410,22,7634,0,4997.2,763.76,1.2778
Greece,2012,41.34,0.707,21913,349.3,924,7,8395,0,7881.2,574.2,0.1667
Greece,2013,43.08,0.73,21787.79,328.3,1043,9,8057,21.84,8280.1,521.65,0.0556
Greece,2014,37.5,0.731,21616.71,307.91,17,7,10136,47.7,9210.6,1458.36,0.1389
Greece,2015,15.35,0.61,18083.88,311.72,8,9,12974,47.7,10403.5,427.99,0.1667
Greece,2016,15.51,0,17923.97,306.97,0,8,17340,47.7,11314.6,415.54,0.1111
Greece,2017,6.31,0,18582.09,322.18,1.5,6,22199,47.7,12781.6,393.8,0.0278
Greece,2018,25.99,0,19756.99,324.05,46,8,25048,33.79,13346.7,352.73,0
Greece,2019,44.32,0,19143.89,316.86,182.2,5,21697,0,15108.17,314.67,-0.1111
Hungary,2005,11.34,0.095,11223.4,308.08,0,1,573,0,525.7,694.09,2.1389
Hungary,2006,2.87,0.109,11489.56,302.06,0,3,979,0,771.5,686.18,2.2778
Hungary,2007,3.38,0,13940.91,298.09,0.4,6,1621,0,1110.7,668.89,2.0833
Hungary,2008,2.88,0,15772.33,293.9,0.6,1,2364,0,1608.4,853.62,2.25
Hungary,2009,2.63,0,13077.31,272.69,0,7,4149,0,2344,1106.07,2.6667
Hungary,2010,2.81,0,13217.5,277.83,1,11,6397,0,3557.7,1110.132785,2.2222
Hungary,2011,2.58,0,14234.47,269.46,2,11,7634,0,4997.2,1095.39,2.1944
Hungary,2012,3.3,0,12984.84,251.12,8,12,8395,0,7881.2,1082.6,1.0833
Hungary,2013,8.14,0,13715.07,238.04,23,22,8057,21.84,8280.1,1111.97,0.3611
Hungary,2014,9.44,0,14294.26,238.27,54,21,10136,47.7,9210.6,969.66,0.1389
Hungary,2015,8.05,0,12717.04,251.04,83,30,12974,47.7,10403.5,1064.97,0.0833
Hungary,2016,10.67,0,13104.7,255.49,63,19,17340,47.7,11314.6,1157.64,-0.0833
Hungary,2017,6.95,0.116,14621.24,269.29,109,37,22199,47.7,12781.6,1344.65,0.2778
Hungary,2018,8.64,0.118,16425.21,271.2,384,11,25048,33.79,13346.7,1048.23,-0.1667
Hungary,2019,10.27,0.109,16786.21,274.89,672,10,21697,0,15108.17,1104.066494,-0.1944
Ireland,2005,3.93,0,50933.02,188.17,0,1,573,0,525.7,2297.36,1.3889
Ireland,2006,1.69,0,54329.16,194.29,0,0,979,0,771.5,2326.15,1.75
Ireland,2007,3.22,0,61396.42,197.32,0,0,1621,0,1110.7,2913.52,1.6667
Ireland,2008,8.07,0,61353.11,196.38,0,12,2364,0,1608.4,2585.35,1.8333
Ireland,2009,12,0,52133.09,176.61,0.6,6,4149,0,2344,2947.17,1.6944
Ireland,2010,17.22,0,48663.6,178.3,0.1,2,6397,0,3557.7,3114.31,1.3611
Ireland,2011,21.94,0,52219.71,170.26,0.1,0,7634,0,4997.2,3067.83,1.1111
Ireland,2012,20.6,0,48943.82,167.47,0.2,0,8395,0,7881.2,3019.75,0.1111
Ireland,2013,11.02,0,51496.96,165,0.1,0,8057,21.84,8280.1,2965.68,0.2778
Ireland,2014,8.44,0,55752.76,164.55,0.6,0,10136,47.7,9210.6,2958.56,0.1111
Ireland,2015,6.35,0,62179.26,173.91,0.7,0,12974,47.7,10403.5,2884.78,-0.0278
Ireland,2016,8.17,0,62784.07,181.64,3.6,0,17340,47.7,11314.6,2974.36,-0.2778
Ireland,2017,7.67,0,70150.74,182.41,11.2,0,22199,47.7,12781.6,2934.12,-0.3889
Ireland,2018,9.48,0,79446.94,186.49,14.8,0,25048,33.79,13346.7,2946.62,-0.3611
Ireland,2019,11.18,0,80848.3,187.37,25.5,1,21697,0,15108.17,2981.52,-0.3889
Italy,2005,4.68,0.637,32055.09,2200.25,3,12,573,0,525.7,2832.176879,1.5278
Italy,2006,14.47,0.632,33529.73,2190.07,11,13,979,0,771.5,2784.198111,2.4444
Italy,2007,24.7,0.669,37870.75,2148.3,65,47,1621,0,1110.7,2734.41,2.2778
Italy,2008,27.08,0.718,40944.91,2111.91,373,78,2364,0,1608.4,2868.34,2.2778
Italy,2009,33.49,0.674,37226.76,1971.71,781,142,4149,0,2344,3021.66,2.3056
Italy,2010,39.17,0.506,36035.64,2036.73,2328,150,6397,0,3557.7,2243.99,2.1667
Italy,2011,46.58,0.487,38649.64,1997.91,9539,179,7634,0,4997.2,3243,2.0278
Italy,2012,34.01,0.323,35051.52,1943.88,3654,127,8395,0,7881.2,3210.93,1.1111
Italy,2013,13.67,0.208,35560.08,1858.6,1400,77,8057,21.84,8280.1,3246.65,1.1389
Italy,2014,16.67,0.194,35565.72,1762.32,409,3,10136,47.7,9210.6,2307.35,1.25
Italy,2015,15.38,0.326,30242.39,1814.77,307,28,12974,47.7,10403.5,1704.46,1.1667
Italy,2016,21.68,0.309,30960.73,1821.93,382,52,17340,47.7,11314.6,1802.26,1.2778
Italy,2017,19.25,0.315,32406.72,1843.12,399.3,42,22199,47.7,12781.6,1803.99,1.2222
Italy,2018,21.91,0,34622.17,1853.64,425.3,44,25048,33.79,13346.7,1788.59,0.9167
Italy,2019,34.52,0,33673.75,1819.56,757.7,34,21697,0,15108.17,1866.65,0.8056
Latvia,2005,10.2,0,7594.9,46.96,0,0,573,0,525.7,310.5903312,1.7953
Latvia,2006,6.12,0,9723.45,44.54,0,0,979,0,771.5,304.0861048,1.9811
Latvia,2007,14.91,0,14113.53,45.93,0,0,1621,0,1110.7,299.8059072,1.8693
Latvia,2008,28.07,0,16467.14,46.24,0,3,2364,0,1608.4,293.7935198,2.016
Latvia,2009,10.57,0.199,12331.93,43.82,0,1,4149,0,2344,520.0368916,2.0698
Latvia,2010,1.76,0.189,11420.99,49.67,0,0,6397,0,3557.7,531.96,1.773
Latvia,2011,11,0.198,13338.96,44.34,0,4,7634,0,4997.2,527.2284356,1.7223
Latvia,2012,16.31,0.183,13847.34,45.96,0,0,8395,0,7881.2,511.557087,0.6274
Latvia,2013,9.86,0.189,15007.49,44.24,0,1,8057,21.84,8280.1,545.4087441,0.6339
Latvia,2014,1.54,0,15742.39,40.75,0,2,10136,47.7,9210.6,582.61,0.3955
Latvia,2015,4.56,0,13786.46,41.75,0,0,12974,47.7,10403.5,761.8595706,0.2546
Latvia,2016,5.79,0,14331.75,44.5,0.7,1,17340,47.7,11314.6,984.77,0.3553
Latvia,2017,22.54,0,15695.12,48.98,0,0,22199,47.7,12781.6,566.52,0.2865
Latvia,2018,13.95,0,17865.03,43.56,1.3,2,25048,33.79,13346.7,627.95,0.2986
Latvia,2019,8.43,0,17883.35,44.84,1.3,0,21697,0,15108.17,695.94,0.2782
Lithuania,2005,6.57,0,7854.77,93.84,0,0,573,0,525.7,263.0188883,1.7953
Lithuania,2006,15.56,0,9230.71,89.62,0,0,979,0,771.5,271.4036002,1.9811
Lithuania,2007,27.69,0,12285.45,98.1,0,0,1621,0,1110.7,285.1265213,1.8693
Lithuania,2008,23.3,0,14945,97.13,0.1,1,2364,0,1608.4,300.6799229,2.016
Lithuania,2009,19.19,0,11820.78,90.03,0,1,4149,0,2344,552.5569114,2.0698
Lithuania,2010,9.24,0,11987.51,65.76,0,6,6397,0,3557.7,594.75,1.773
Lithuania,2011,9.4,0,14376.95,68.5,0.2,6,7634,0,4997.2,596.8666866,1.7223
Lithuania,2012,41.63,0,14367.71,68.6,6.7,7,8395,0,7881.2,588.7272445,0.6274
Lithuania,2013,27.63,0.221,15729.65,63.41,61,12,8057,21.84,8280.1,630.8592466,0.6339
Lithuania,2014,9.36,0.221,16551.02,61.16,1,8,10136,47.7,9210.6,677.16,0.3955
Lithuania,2015,18.34,0.167,14263.96,63.93,0,3,12974,47.7,10403.5,651.02,0.2546
Lithuania,2016,21.73,0,15008.31,65.15,1,11,17340,47.7,11314.6,776.23,0.3553
Lithuania,2017,17.39,0,16885.41,68.65,3.8,10,22199,47.7,12781.6,856.76,0.2865
Lithuania,2018,12.21,0,19186.36,70.8,8.2,5,25048,33.79,13346.7,914.91,0.2986
Lithuania,2019,23.23,0,19615.55,70.87,21,4,21697,0,15108.17,1632.69,0.2782
Netherlands,2005,12.02,0.121,41994.71,1112.24,1,18,573,0,525.7,2597.86,2.0556
Netherlands,2006,13.04,0.115,44900.94,1089.58,2,13,979,0,771.5,2901.13,2.0833
Netherlands,2007,13.6,0.107,51799.21,1107.52,1,8,1621,0,1110.7,4228.49,2.0833
Netherlands,2008,29.51,0.83,57879.94,1094.39,5,14,2364,0,1608.4,4075.89,2.4167
Netherlands,2009,32.05,0.687,52722.21,1079.29,10,31,4149,0,2344,4336.41,2.5833
Netherlands,2010,50.63,0.599,50999.75,1170.65,21,43,6397,0,3557.7,4253.58,2.4444
Netherlands,2011,50.31,0.167,54230.31,1115.09,59,50,7634,0,4997.2,4008.64,1.6944
Netherlands,2012,67.74,0.141,50070.14,1095.7,138,35,8395,0,7881.2,4272.55,0.6667
Netherlands,2013,45,0.146,52198.9,1062.89,363,55,8057,21.84,8280.1,4362.33,0.5278
Netherlands,2014,35.86,0.146,52900.54,1016.33,357,58,10136,47.7,9210.6,2968.13,0.3611
Netherlands,2015,35.3,0.12,45193.4,1034.11,519.3,19,12974,47.7,10403.5,4403.87,0.3056
Netherlands,2016,28.26,0.12,46039.11,1043.62,608.8,36,17340,47.7,11314.6,4675.17,0.5556
Netherlands,2017,9.04,0.121,48675.22,1051.38,775.9,42,22199,47.7,12781.6,4935.12,0.2778
Netherlands,2018,16.84,0.127,53044.53,1025.89,1697.1,25,25048,33.79,13346.7,2752.03,0.6389
Netherlands,2019,38.37,0.11,52476.27,1021.6,2618,33,21697,0,15108.17,5171.53,0.5278
Poland,2005,19.57,0,8021.55,1064.35,0,14,573,0,525.7,626.7,1.3889
Poland,2006,24.43,0,9035.53,1116.98,0,9,979,0,771.5,639.15,1.6667
Poland,2007,21.71,0,11254.31,1113.82,0,13,1621,0,1110.7,703.16,1.5556
Poland,2008,23.37,0,13995.78,1133.31,0,41,2364,0,1608.4,773.45,1.7778
Poland,2009,18.82,0,11525.9,1093.62,0,28,4149,0,2344,961.62,1.8056
Poland,2010,48.02,0,12504.25,1166.17,0,48,6397,0,3557.7,1033.91,1.6389
Poland,2011,27.25,0,13776.39,1172.93,1.1,57,7634,0,4997.2,1069.32,1.5278
Poland,2012,27.17,0,13010.76,1139.24,0.2,65,8395,0,7881.2,1058.82,0.25
Poland,2013,20.93,0,13558.34,1141.95,1.1,67,8057,21.84,8280.1,1112.91,0.3611
Poland,2014,8.88,0,14181.95,1100.94,24.8,84,10136,47.7,9210.6,1128.55,0.1944
Poland,2015,7.44,0,12560.05,1112.31,80.6,90,12974,47.7,10403.5,1149.7,0.0556
Poland,2016,29.51,0,12378.81,1160.69,79.5,90,17340,47.7,11314.6,1228.87,0.0556
Poland,2017,29.31,0,13815.5,1205.9,99.8,60,22199,47.7,12781.6,1284.94,0.0556
Poland,2018,25.96,0,15504.51,1219.63,274.9,78,25048,33.79,13346.7,1355.75,0.1944
Poland,2019,40.55,0,15700.01,1184.75,977.3,76,21697,0,15108.17,1487.21,0.4722
Portugal,2005,0.22,0.674,18780.13,296.96,0,15,573,0,525.7,932.4075291,1.9722
Portugal,2006,24.2,0.68,19839.45,294.79,1,13,979,0,771.5,941.6148911,2
Portugal,2007,0.68,0.521,22811.06,297.07,21,23,1621,0,1110.7,928.09,1.6667
Portugal,2008,34.01,0.559,24949.04,286.75,35,41,2364,0,1608.4,320.01,1.8889
Portugal,2009,15.58,0.53,23151.22,289.23,56,34,4149,0,2344,523.19,1.7778
Portugal,2010,16.31,0.504,22520.64,305.09,19,42,6397,0,3557.7,498.7,1.4444
Portugal,2011,20.71,0.529,23217.3,291.04,38,29,7634,0,4997.2,480.6,1.4444
Portugal,2012,4.6,0.488,20563.71,265.78,66,36,8395,0,7881.2,389.74,0.3333
Portugal,2013,6.5,0.505,21653.2,291.79,58,30,8057,21.84,8280.1,366.33,0.2778
Portugal,2014,8.03,0,22103.7,297.68,119,31,10136,47.7,9210.6,1292.59,-0.6389
